M,F
0.1670601044,0.1521975515
0.1693444541,0.1291462756
0.1613933934,0.1755542687
0.1769919919,0.1489745439
0.1714093906,0.1977228384
0.0757009859,0.1913737204
0.04825407519,0.1891538753
0.05964548674,0.1917023533
0.09746390011,0.1834332067
0.06218231186,0.1864655685
0.0805712834,0.19820339
0.07936886639,0.1876290343
0.08480654479,0.2007020417
0.2137323717,0.1732497384
0.1993205263,0.1822996924
0.1986936719,0.1834951662
0.201900172,0.1732714988
0.2036166856,0.1736390254
0.2096319597,0.2001155625
0.2085806977,0.1964059922
0.1953229034,0.1702119423
0.1932046899,0.1722860179
0.1996621528,0.2049378804
0.1964175134,0.1571686267
0.2063928597,0.1958608361
0.1974257283,0.1882267926
0.2050803714,0.2223733898
0.1613857698,0.1920499605
0.154383414,0.2019294987
0.1526508911,0.1980506322
0.1566055098,0.1939620585
0.1576010847,0.1957395948
0.1570132796,0.1718706672
0.1550764638,0.178197286
0.1549777172,0.1738220078
0.1532184801,0.1721082281
0.1521325144,0.171769968
0.1544338261,0.1888722679
0.1569306429,0.1751078087
0.1581805837,0.1794180767
0.1539003165,0.1832005973
0.1539048754,0.1601736844
0.1543450781,0.08560587
0.1608621821,0.0820059823
0.1583738573,0.07884718717
0.1546371605,0.1214455059
0.1580086778,0.09340230884
0.158993749,0.1026233602
0.1661031141,0.09179071397
0.1623908965,0.1125746087
0.1640860183,0.09756209125
0.1584662572,0.08883131316
0.1611760076,0.1647842489
0.1583001091,0.135120044
0.1527527947,0.1524144482
0.147733874,0.15025502
0.145859237,0.1512832657
0.1496117748,0.1532887073
0.1554347,0.1393052835
0.1596213737,0.1655421992
0.1580401543,0.1536453595
0.1605006403,0.1526738274
0.1582721513,0.1622051574
0.1555951806,0.1682522032
0.150899012,0.163490852
0.1518364871,0.1695799089
0.1553644842,0.17030936
0.1595107922,0.1616414661
0.154189575,0.169751775
0.1563211756,0.1660777208
0.1533817534,0.1665375697
0.1467569046,0.1734510649
0.1626138045,0.2082917959
0.1522345731,0.2082320733
0.1651556382,0.1993868104
0.1677556632,0.1956793888
0.1555354318,0.1956045463
0.1457207642,0.2003245639
0.1395830682,0.2126811507
0.1451326601,0.1980392265
0.1196215916,0.218551887
0.1331576312,0.1982030054
0.1267350844,0.202647026
0.1271246457,0.2177588417
0.1328546309,0.1914561417
0.1887164314,0.2001537814
0.1814949591,0.198024236
0.1922753785,0.1993771879
0.2030827557,0.2128109585
0.1668575557,0.2064788171
0.1873910607,0.2057928211
0.1940882003,0.1417978161
0.1859081573,0.1324629185
0.1780275673,0.1411329274
0.187952069,0.1210758548
0.1916954258,0.2225570541
0.1897489801,0.2327535988
0.1884083565,0.2115629077
0.1822190213,0.2279309867
0.1870547374,0.2299930217
0.1767753962,0.220802047
0.153610337,0.2175092762
0.1872992646,0.2289027479
0.1572719865,0.2266688155
0.1831416908,0.240260308
0.2013874162,0.1121534344
0.1862378632,0.1258455266
0.1944141685,0.155449633
0.1871144957,0.09826915537
0.1809098672,0.2065772632
0.1885753303,0.2123197011
0.1928986681,0.1950128904
0.1909703655,0.196432361
0.1870928614,0.1972753075
0.1819026243,0.1950689709
0.1603626083,0.2044464787
0.1905263049,0.2088320342
0.1830182084,0.2104597328
0.1904429837,0.1904654519
0.1959468406,0.1838695943
0.1946106524,0.1995273338
0.1936047006,0.1914854076
0.186411124,0.1999196582
0.1938008392,0.1673555004
0.1672814207,0.1776190941
0.1881003336,0.1917652026
0.1860642298,0.1772993553
0.1868237072,0.1931231209
0.1941433416,0.1763747301
0.18885973,0.1826616613
0.1759291042,0.1758556573
0.1932289934,0.1881256726
0.1900716429,0.1848722922
0.1908369098,0.1551814369
0.1946394063,0.1476062946
0.176457058,0.1854168928
0.1992806868,0.1670220358
0.1796591203,0.1332120893
0.1946063128,0.09808379524
0.204981834,0.1230618107
0.1964252578,0.1317477992
0.1909826047,0.1639385286
0.1938123348,0.1348132461
0.1823064586,0.1375558798
0.1868980297,0.1165849153
0.1896115648,0.1422974319
0.1860848114,0.1328950652
0.1921339716,0.1988082426
0.166416082,0.1928873507
0.1996145164,0.1856589437
0.1294525297,0.1751811581
0.1831098725,0.1730161137
0.1950519226,0.1641263568
0.1949837813,0.1619933336
0.183124768,0.1871543005
0.1865111649,0.1849567089
0.1863072602,0.1861878449
0.1877401264,0.123722281
0.1886105345,0.1195719774
0.1871269493,0.1163657952
0.1894986763,0.1105003265
0.1786184093,0.1396292171
0.1756141734,0.1858130963
0.1947809445,0.1904431137
0.1770962088,0.1861066441
0.1848482965,0.1884253303
0.186207925,0.1863894011
0.1650264563,0.1790149153
0.08583160655,0.1814335712
0.03936334258,0.187369211
0.146393371,0.1801855148
0.1329511817,0.18151919
0.1383537851,0.1960224933
0.1717561118,0.1751766556
0.1364737912,0.1961049969
0.128093693,0.1715233453
0.1290279216,0.1617311679
0.1502272406,0.1773514313
0.1221344666,0.173757232
0.1424889262,0.1850091254
0.1288145322,0.1670531054
0.183966745,0.1864894451
0.1736303946,0.1792022317
0.1811914686,0.1944855411
0.1841873128,0.178228426
0.1870382226,0.1854069111
0.1875089375,0.1839853077
0.1933064494,0.1785997455
0.1923912113,0.1813903958
0.1939768162,0.2010655559
0.1843061637,0.1573752623
0.1952739453,0.1961022981
0.1893313951,0.1890546933
0.1704628481,0.1693996228
0.1614900053,0.1939561417
0.153327066,0.1783934019
0.1890649503,0.1691289488
0.1972052463,0.1783146047
0.1992534399,0.1751852122
0.1507041845,0.1309879399
0.138336323,0.1312959593
0.1568624186,0.1286417518
0.152167925,0.1394075759
0.1446813841,0.1336590569
0.1622268126,0.1724497858
0.126679195,0.1470185677
0.157578737,0.1521960095
0.1564629331,0.1509556893
0.1305366026,0.1528458422
0.1960227047,0.1873961612
0.2005130948,0.1824047936
0.1996195341,0.194089842
0.2024500685,0.1885525938
0.2075344217,0.1843914186
0.1407169279,0.1818211899
0.2126198169,0.182572402
0.2014280287,0.1897110215
0.2057761136,0.1876502854
0.2065069377,0.1949463129
0.1359169355,0.1932792647
0.1592701161,0.1887186261
0.1603748999,0.1885009598
0.160468201,0.1900710188
0.1309175465,0.1882993131
0.1376547429,0.1883948244
0.1534469828,0.1900759561
0.1638129889,0.194601256
0.1529374895,0.2001581914
0.1546231048,0.1948398101
0.1395463326,0.1845969184
0.1417303404,0.170118982
0.152080516,0.1900742606
0.1500024346,0.1845681527
0.141262751,0.1852248607
0.14446144,0.1849460272
0.1489326683,0.1838525608
0.1473807049,0.1866607726
0.1327099748,0.1933909852
0.1155573398,0.1911735492
0.1331081022,0.1890569086
0.13340514,0.1870272
0.1264057494,0.190584259
0.1300415594,0.1870092886
0.1288993039,0.1899541083
0.1388508437,0.1894183536
0.1331078946,0.1912216687
0.1356038665,0.1886866535
0.1290031263,0.1891771837
0.1258303805,0.1871282806
0.1696346294,0.187340431
0.1456762,0.1897082298
0.1506606273,0.1854219469
0.1374122681,0.1883050034
0.1485049029,0.1859282175
0.1294946308,0.1903610676
0.1410173013,0.1858017174
0.1244345525,0.1831069732
0.1403731684,0.1818950827
0.1421333664,0.1910788123
0.1369302571,0.1927801017
0.1294088905,0.1871544588
0.1415981852,0.1901658932
0.1551711853,0.191504402
0.1647104278,0.1918322481
0.1694462279,0.1944714433
0.1715247814,0.1851356611
0.1656757681,0.1808664351
0.1752365468,0.1835273684
0.1733561303,0.1877635825
0.1676885314,0.1835709223
0.1771540061,0.1843074256
0.1670921112,0.1837316216
0.1354399209,0.1841441387
0.1113367168,0.1868744466
0.1264901567,0.1818153575
0.143503898,0.1914149833
0.09840126372,0.1984017963
0.1337891671,0.1864015066
0.1421077907,0.1919228313
0.1250465127,0.1868325246
0.1180124582,0.1973057722
0.1464087693,0.1892500397
0.1472462285,0.1880186661
0.1365449948,0.1876443441
0.1316492755,0.1808527137
0.1366199009,0.1847795519
0.1363578727,0.1873453
0.1139983213,0.1895674665
0.1342804844,0.1835506502
0.1312869832,0.1892830416
0.1462110675,0.1919290209
0.1140479627,0.1863196511
0.1304839086,0.186823415
0.1634491407,0.1828946129
0.1583517232,0.181308458
0.1942263937,0.1851203424
0.1831673575,0.1909982949
0.1665082752,0.1931856959
0.1906036911,0.1854334374
0.1741515837,0.198801928
0.1730945916,0.1920376311
0.1800521312,0.1933169028
0.1877413971,0.1917860022
0.1746232411,0.1803957793
0.1951269711,0.1929572998
0.187102575,0.1875671479
0.179253335,0.1891393734
0.1830015139,0.193135576
0.2040960233,0.195470072
0.1878814434,0.1948388171
0.1709043519,0.1932742727
0.1693104037,0.1797550175
0.1679014026,0.2030867476
0.1696679256,0.180709738
0.1722428595,0.185590297
0.169736247,0.1609344291
0.1687908298,0.1805615238
0.1691001558,0.1785870111
0.1651018121,0.1903311639
0.1692999328,0.1897539506
0.1617989483,0.1698633894
0.1419960094,0.1943384068
0.1517552747,0.1851023139
0.1557910358,0.1637500153
0.1320787683,0.1587239867
0.1564136655,0.1913058267
0.1345059317,0.1738010829
0.1694118399,0.1904938029
0.1552458439,0.199900983
0.1498868827,0.1688730892
0.1597224489,0.1744680089
0.1574214458,0.2119021025
0.170624946,0.1920904076
0.1138484798,0.2051799942
0.1674984442,0.1971035994
0.1651468721,0.1798554792
0.1464452878,0.2120578949
0.1691860479,0.1980089142
0.136065631,0.1868635256
0.157534008,0.1823123722
0.1567807631,0.1848530854
0.1593334028,0.1872596816
0.1645654947,0.2200234429
0.1462408222,0.2040517355
0.1385461561,0.1894957673
0.1414193998,0.201001923
0.1356816355,0.1660542066
0.1610378479,0.2023061624
0.1124477095,0.1775831167
0.1552235727,0.1870305835
0.1624105499,0.1805132698
0.1249296263,0.1817413608
0.1419648237,0.1795139027
0.1765057339,0.1908107731
0.1606258733,0.1931207693
0.1560322421,0.1730248378
0.07467508307,0.2002317499
0.09257889421,0.2063188342
0.1012779163,0.1872515619
0.09143633492,0.1346728868
0.1372062169,0.2051594188
0.1526700149,0.1946935067
0.1717128711,0.1787345448
0.1438088389,0.1968991128
0.1528464755,0.1895294625
0.1514627136,0.1518619301
0.1384464888,0.2052960173
0.1579527683,0.1755808952
0.09798619352,0.1669662935
0.1410780758,0.1641799339
0.1465059881,0.1323056293
0.1586233923,0.1465263221
0.1597916775,0.1157892847
0.1136688872,0.1385922138
0.1511713499,0.1748797685
0.1613325499,0.2104238837
0.1274797565,0.2130263908
0.1551926553,0.2114067238
0.1467551919,0.2356846525
0.1552190913,0.204464415
0.1653685226,0.2299870281
0.1741856115,0.2245719234
0.1717273142,0.2179669977
0.1764593135,0.2018666747
0.1776948785,0.2077093181
0.1763521835,0.1148281114
0.1561207518,0.1229564799
0.152185584,0.1283049094
0.1522665369,0.1183386786
0.1497907874,0.1271149065
0.1557853681,0.1431329734
0.1561470381,0.1105029829
0.1499483624,0.1392540294
0.1590033236,0.1111535945
0.1593213465,0.2229303263
0.1562404017,0.2181698186
0.1500519761,0.2232787841
0.1506721568,0.215388321
0.151921813,0.2252299662
0.1530626755,0.211237578
0.1501397161,0.2275367427
0.1558673561,0.2276831679
0.1551301305,0.2225488733
0.153817457,0.2145818962
0.1537159326,0.2168089143
0.153085133,0.2184779703
0.1576441913,0.1953669381
0.1551810943,0.2307905433
0.1539429907,0.2299382537
0.1539645447,0.221970733
0.1579151033,0.227550491
0.162173227,0.2195019828
0.156166413,0.2186473905
0.1620649666,0.2222278564
0.1527369656,0.2266641431
0.1542920825,0.2191846325
0.1567670051,0.2356528438
0.1541524417,0.2121346239
0.1498783239,0.2179047823
0.1501088225,0.2266503153
0.1494568868,0.2114013129
0.1521305991,0.2194251858
0.1515315244,0.2219836998
0.1576149673,0.2120307575
0.1514721793,0.2256839663
0.1552638146,0.209008272
0.1565150602,0.2266400315
0.1555237988,0.2164734861
0.1516844444,0.1995374623
0.1530868788,0.2091758219
0.1513564312,0.2196912732
0.1513343487,0.2192187222
0.1478057263,0.2115883381
0.1479366203,0.206963676
0.1590233928,0.2197338246
0.1555869126,0.2249580188
0.151272283,0.2293288186
0.1489209353,0.2178158599
0.1680523752,0.21563375
0.1637791931,0.223532436
0.1780513989,0.227945965
0.1594516627,0.2327942936
0.1676847306,0.2155363031
0.1604502089,0.2153108281
0.1671167276,0.2237481881
0.1580406618,0.2278069293
0.1635413466,0.2236720018
0.1624389297,0.2241337542
0.1605609247,0.2179785859
0.1701360122,0.2193790076
0.1688542138,0.2134508004
0.1754698399,0.2119277834
0.1688848821,0.2191004112
0.1591952993,0.2309814564
0.1655982975,0.2413809819
0.1572765337,0.2368948402
0.1654616188,0.2274387508
0.1696334385,0.2290413117
0.1660184199,0.2426391267
0.1695537056,0.2340233279
0.1659768766,0.231254419
0.1587215829,0.2407237221
0.1628958579,0.2383638618
0.164228316,0.2420816148
0.1659119227,0.2348799387
0.1654546262,0.2470406841
0.168504576,0.2230313104
0.1656588764,0.2356860193
0.1662335485,0.2322220646
0.1583678241,0.2264524606
0.1723909381,0.2316440014
0.1666894753,0.2256683222
0.1635151279,0.2356678294
0.1658995085,0.2309917808
0.16979763,0.2364976704
0.171958807,0.236732245
0.1538964736,0.2322928854
0.1755275745,0.2387301621
0.1650486832,0.2252882682
0.1660460944,0.2260544298
0.1623367726,0.2353318617
0.1672547005,0.224207222
0.1670212696,0.2342319828
0.1669735937,0.2323468563
0.1681487454,0.2367028674
0.1711685971,0.2317464229
0.1658628747,0.2443564469
0.1630018023,0.2291289616
0.166741898,0.2296555828
0.1614209415,0.2190489094
0.1693315093,0.2511237587
0.1697964471,0.2348981077
0.1763093201,0.2409406051
0.1724594452,0.2291287162
0.1707524943,0.2340163275
0.164848568,0.2315153005
0.1682431269,0.2252220311
0.1693416325,0.2270546341
0.165553011,0.2299293334
0.1654393385,0.2381547566
0.1722354559,0.2236097036
0.1665802127,0.2296779063
0.1593469172,0.23530398
0.1684243941,0.2412197265
0.1732251389,0.2396035047
0.1649421123,0.2432663032
0.1699510914,0.2392585477
0.1653414917,0.2343598745
0.162046927,0.2380507969
0.1498641556,0.2362323012
0.1683170505,0.223881963
0.1579925764,0.2348668651
0.1746455387,0.2370930523
0.1752356622,0.227773489
0.1736657776,0.2116710844
0.1618590394,0.2198962946
0.1611315937,0.2117065792
0.1673357159,0.2050055945
0.1624289479,0.2094201432
0.1734834711,0.2130952584
0.1643890789,0.2351353591
0.1680223385,0.2068727875
0.1803602113,0.2152392267
0.1911512878,0.2137375189
0.1764815613,0.2121899149
0.1825169299,0.2107488813
0.1732017951,0.2191682745
0.1756085467,0.2102907281
0.173764677,0.212587563
0.1687629858,0.2168509256
0.1847492146,0.2085590746
0.1807921752,0.2119393897
0.1843880441,0.203774998
0.1784912109,0.2211372343
0.1840121615,0.2121899149
0.1902704822,0.2159385261
0.1790850454,0.2171286489
0.1858762941,0.2278654152
0.1810549466,0.2112898353
0.1806427981,0.2236616497
0.1839810135,0.2092210012
0.1929432994,0.2216711128
0.172044323,0.2203542958
0.1737164802,0.2162923167
0.1734488053,0.2119866292
0.170723428,0.2274761573
0.1885430134,0.2178749889
0.1700425673,0.2142647466
0.1806509614,0.2159557001
0.1788733569,0.2243435936
0.1742739833,0.2229956677
0.1776699764,0.214056833
0.1823618103,0.2168752744
0.1756341232,0.2097380767
0.178535925,0.2199638679
0.1723493462,0.2242657992
0.16482457,0.2194117669
0.1748923249,0.2273414577
0.1681643718,0.214310592
0.1714090293,0.2273904751
0.1787651231,0.2198344267
0.1776938584,0.2247624608
0.1797161435,0.2139475342
0.1737094554,0.2066638075
0.1737205115,0.2240286572
0.1782543362,0.2071891923
0.1661843784,0.209110997
0.1787206876,0.2187506113
0.1686986128,0.2177598355
0.1664786361,0.2259455831
0.1706136999,0.2173109028
0.1828876908,0.2086524127
0.1737994495,0.218040353
0.1769382827,0.2146344532
0.1776807805,0.1965801179
0.1677317438,0.2007919161
0.1810363393,0.1989416672
0.1749917481,0.1899356523
0.1775270385,0.1911679157
0.1767462553,0.2029751087
0.1715479606,0.1879424287
0.1755834813,0.210705839
0.182465049,0.1960923771
0.1603079978,0.2011849564
0.1533816742,0.1934236003
0.197027156,0.226478185
0.1815559866,0.1842145699
0.1890570805,0.205306866
0.183170844,0.1985083187
0.2019513039,0.1901395232
0.2022835769,0.1795839071
0.1949572215,0.1965537487
0.1997563975,0.1839587148
0.1940164962,0.1583903053
0.2038145371,0.1598020117
0.1868914095,0.1576355355
0.1714902871,0.1988724154
0.1808493587,0.2181547651
0.198585268,0.1875226193
0.1942106169,0.2107257903
0.1951714221,0.1873634838
0.1930387038,0.1866259615
0.1897612584,0.1510913774
0.1861185133,0.2192456658
0.1942481342,0.1983325404
0.1988688376,0.1898775162
0.1931553886,0.2137717352
0.1859346988,0.2177364891
0.1952007874,0.2160775102
0.2072714907,0.213027424
0.1892881638,0.2169801534
0.1889846503,0.2134877277
0.1888386647,0.1904835985
0.2015410405,0.1937102794
0.1908516972,0.1764127589
0.1834646589,0.2053756034
0.1899897725,0.2075853055
0.1904018836,0.2142234403
0.1957098918,0.2095673466
0.192631692,0.2146621353
0.1828692132,0.2172660955
0.2010807885,0.2055782058
0.1989304724,0.2119848114
0.1794069477,0.2004034637
0.1815596001,0.2183992331
0.1931970245,0.2110168952
0.1979547505,0.1856434887
0.1957447676,0.2124963834
0.1963365903,0.2069040017
0.1731651502,0.2176677616
0.1952097582,0.2122769056
0.2033810456,0.2095979769
0.1995829148,0.2060269714
0.1913244895,0.1815693617
0.1922997608,0.1860833835
0.1913737898,0.1800463948
0.1941499088,0.1874999266
0.1952199473,0.1906824518
0.1953763874,0.2025000507
0.1963173263,0.2009247495
0.1907200111,0.2031541748
0.1883575972,0.2029543648
0.1904086378,0.1958776064
0.1921544072,0.1867838016
0.2012405802,0.2044083288
0.204075413,0.1949368064
0.1857686459,0.2003186491
0.1874770371,0.1997490594
0.1895151999,0.2043335124
0.1938321536,0.2098090774
0.1890634772,0.2133898786
0.1919211835,0.2101138252
0.2013057189,0.2060216443
0.1959378998,0.2032364389
0.1968394879,0.2114598396
0.1933572929,0.2104144887
0.1983568895,0.2190182557
0.1913805241,0.2080208294
0.2003031651,0.2104097494
0.2033627563,0.2116024555
0.1948514249,0.2039076402
0.2004336856,0.2277554135
0.1958475405,0.2034644171
0.1959536758,0.1941876182
0.1940595985,0.2041931976
0.1978850718,0.1952838286
0.1934242142,0.1956955979
0.1879438084,0.2149781076
0.2008612419,0.1989655722
0.1995895425,0.1994559805
0.1978517769,0.2088848658
0.1949613048,0.1951401858
0.1934920464,0.1975398045
0.1865065489,0.1940725086
0.1791009869,0.2068010932
0.1910237972,0.2023096178
0.1926213378,0.1971497212
0.1992173608,0.2004944782
0.1892322847,0.2007417445
0.1940034861,0.2039619251
0.185269829,0.207664634
0.1948745224,0.1969813921
0.1928092515,0.1949406208
0.1825077625,0.1999498583
0.189983202,0.2230737845
0.1894259861,0.2209898988
0.1915907036,0.2007955303
0.1989369824,0.1876737639
0.1856985739,0.1975046077
0.1882913065,0.2115350598
0.186219164,0.2034082905
0.1854625074,0.2180460665
0.1913533962,0.1949295815
0.1891600771,0.1998442071
0.1773296697,0.2231970003
0.186100909,0.2330408102
0.1830456298,0.233168218
0.1948448641,0.2231155875
0.1897979436,0.2389170339
0.1988105715,0.2215977913
0.1904791029,0.2403975807
0.1855839943,0.2149162828
0.1957049834,0.227642046
0.1915827288,0.2225965661
0.188229185,0.2496365929
0.1742545337,0.2342018954
0.1842445609,0.2324552345
0.1845171831,0.220120521
0.1851263891,0.2349340489
0.1799491936,0.2310748738
0.1795572999,0.233656193
0.1919361867,0.2352972228
0.1832104374,0.2333759206
0.1871469068,0.2380486198
0.1902355642,0.2328019812
0.1805286669,0.2266377824
0.2049436668,0.2162950241
0.1946279885,0.240473729
0.198570077,0.2370421944
0.1863934722,0.2274135097
0.1890025468,0.2316416489
0.1809957865,0.2279568096
0.1894963718,0.2216032764
0.1843389382,0.2316933411
0.1917823167,0.2308996107
0.1899950952,0.2388310908
0.1929889433,0.2339886586
